Kod,District_code,Nazwa,percent_of_total_deaths
2464000,2464,Powiat m. Częstochowa,4.7
2465000,2465,Powiat m. Dąbrowa Górnicza,5
2466000,2466,Powiat m. Gliwice,3.6
2467000,2467,Powiat m. Jastrzębie-Zdrój,8.5
2468000,2468,Powiat m. Jaworzno,5.8
2469000,2469,Powiat m. Katowice,5.8
2470000,2470,Powiat m. Mysłowice,5.3
2471000,2471,Powiat m. Piekary Śląskie,4.8
2472000,2472,Powiat m. Ruda Śląska,6.1
2473000,2473,Powiat m. Rybnik,8.4
2474000,2474,Powiat m. Siemianowice Śląskie,5.7
2475000,2475,Powiat m. Sosnowiec,4.5
2476000,2476,Powiat m. Świętochłowice,9.1
2477000,2477,Powiat m. Tychy,5
2478000,2478,Powiat m. Zabrze,6.8
2479000,2479,Powiat m. Żory,8.5
2601000,2601,Powiat buski,3.7
2602000,2602,Powiat jędrzejowski,2.7
2603000,2603,Powiat kazimierski,5.4
2604000,2604,Powiat kielecki,5.2
2605000,2605,Powiat konecki,7.9
2606000,2606,Powiat opatowski,4
2607000,2607,Powiat ostrowiecki,4.9
2608000,2608,Powiat pińczowski,4.4
2609000,2609,Powiat sandomierski,5.8
2610000,2610,Powiat skarżyski,5.8
2611000,2611,Powiat starachowicki,4
2612000,2612,Powiat staszowski,5.3
2613000,2613,Powiat włoszczowski,4.7
2661000,2661,Powiat m. Kielce,5.8
2801000,2801,Powiat bartoszycki,8.4
2802000,2802,Powiat braniewski,10.4
2803000,2803,Powiat działdowski,8.3
2804000,2804,Powiat elbląski,8.4
2805000,2805,Powiat ełcki,10
2806000,2806,Powiat giżycki,9.5
2807000,2807,Powiat iławski,5.8
2808000,2808,Powiat kętrzyński,8.6
2809000,2809,Powiat lidzbarski,8
2810000,2810,Powiat mrągowski,11.4
2811000,2811,Powiat nidzicki,12.4
2812000,2812,Powiat nowomiejski,9.3
2813000,2813,Powiat olecki,7.5
2814000,2814,Powiat olsztyński,10.9
2815000,2815,Powiat ostródzki,8
2816000,2816,Powiat piski,5.7
2817000,2817,Powiat szczycieński,8.2
2818000,2818,Powiat gołdapski,8.2
2819000,2819,Powiat węgorzewski,7.7
2861000,2861,Powiat m. Elbląg,7.7
2862000,2862,Powiat m. Olsztyn,13.8
3001000,3001,Powiat chodzieski,7.2
3002000,3002,Powiat czarnkowsko-trzcianecki,8.5
3003000,3003,Powiat gnieźnieński,9.7
3004000,3004,Powiat gostyński,7.7
3005000,3005,Powiat grodziski,4.4
3006000,3006,Powiat jarociński,5.8
3007000,3007,Powiat kaliski,10.2
3008000,3008,Powiat kępiński,9.8
3009000,3009,Powiat kolski,6.1
3010000,3010,Powiat koniński,7.5
3011000,3011,Powiat kościański,6.7
3012000,3012,Powiat krotoszyński,4.6
3013000,3013,Powiat leszczyński,8.6
3014000,3014,Powiat międzychodzki,6.7
3015000,3015,Powiat nowotomyski,6.4
3016000,3016,Powiat obornicki,9.5
3017000,3017,Powiat ostrowski,8.4
3018000,3018,Powiat ostrzeszowski,7
3019000,3019,Powiat pilski,7.3
3020000,3020,Powiat pleszewski,7.6
3021000,3021,Powiat poznański,8.4
3022000,3022,Powiat rawicki,10
3023000,3023,Powiat słupecki,8
3024000,3024,Powiat szamotulski,7.4
3025000,3025,Powiat średzki,7.1
3026000,3026,Powiat śremski,5.9
3027000,3027,Powiat turecki,5.1
3028000,3028,Powiat wągrowiecki,10
3029000,3029,Powiat wolsztyński,6.2
3030000,3030,Powiat wrzesiński,7.3
3031000,3031,Powiat złotowski,6.6
3061000,3061,Powiat m. Kalisz,13.2
3062000,3062,Powiat m. Konin,7.3
3063000,3063,Powiat m. Leszno,6.1
3064000,3064,Powiat m. Poznań,8.7
3201000,3201,Powiat białogardzki,6.1
3202000,3202,Powiat choszczeński,7
3203000,3203,Powiat drawski,3.8
3204000,3204,Powiat goleniowski,5.2
3205000,3205,Powiat gryficki,5.9
3206000,3206,Powiat gryfiński,3.8
3207000,3207,Powiat kamieński,3.8
3208000,3208,Powiat kołobrzeski,4.8
3209000,3209,Powiat koszaliński,8
3210000,3210,Powiat myśliborski,4.7
3211000,3211,Powiat policki,7
3212000,3212,Powiat pyrzycki,6
3213000,3213,Powiat sławieński,6
3214000,3214,Powiat stargardzki,7.9
3215000,3215,Powiat szczecinecki,6.6
3216000,3216,Powiat świdwiński,5.9
3217000,3217,Powiat wałecki,6.3
3218000,3218,Powiat łobeski,4.8
3261000,3261,Powiat m. Koszalin,8.6
3262000,3262,Powiat m. Szczecin,7.6
3263000,3263,Powiat m. Świnoujście,6.4
